Element Type,OS,Label,Value,Accessibility Label,SnapshotId,Coordinates,screenshot_url,element_udid,package_name,highlighted_image
android.widget.ImageView,android,,,,316649,"{""x"":12.87,""y"":30.875,""height"":1.667,""width"":3.704}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-92b5d953.jpeg,2072098-ebf05307-c4c6-42c6-a0d8-e3bc202b7fcd,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316649_2072098-ebf05307-c4c6-42c6-a0d8-e3bc202b7fcd.jpeg
android.widget.ImageView,android,,,,316649,"{""x"":83.519,""y"":30.875,""height"":1.667,""width"":3.611}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-92b5d953.jpeg,2074020-e17c133e-22b7-49a1-aebb-e20b5400afc4,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316649_2074020-e17c133e-22b7-49a1-aebb-e20b5400afc4.jpeg
android.widget.ImageView,android,,,,316649,"{""x"":12.87,""y"":36.542,""height"":1.625,""width"":3.704}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-92b5d953.jpeg,2075942-e63f9692-b4f1-4e58-9ede-f97e7a038630,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316649_2075942-e63f9692-b4f1-4e58-9ede-f97e7a038630.jpeg
android.widget.ImageView,android,,,,316649,"{""x"":83.519,""y"":36.542,""height"":1.625,""width"":3.611}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-92b5d953.jpeg,2077864-f8ed20f1-1e1b-4075-bc7a-4f6b40b74985,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316649_2077864-f8ed20f1-1e1b-4075-bc7a-4f6b40b74985.jpeg
android.widget.ImageView,android,,,,316649,"{""x"":12.87,""y"":42.25,""height"":1.667,""width"":3.704}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-92b5d953.jpeg,2079786-c516927e-52c5-436b-9efc-cf78c0e483d7,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316649_2079786-c516927e-52c5-436b-9efc-cf78c0e483d7.jpeg
android.widget.ImageView,android,,,,316649,"{""x"":83.519,""y"":42.25,""height"":1.667,""width"":3.611}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-92b5d953.jpeg,2081708-97535730-bd55-438f-b5ba-0e52945b1274,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316649_2081708-97535730-bd55-438f-b5ba-0e52945b1274.jpeg
android.widget.ImageView,android,,,,316649,"{""x"":87.87,""y"":49.25,""height"":2.167,""width"":4.815}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-92b5d953.jpeg,2098045-0a603385-9b21-4bc2-a8a2-1eaa73c68101,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316649_2098045-0a603385-9b21-4bc2-a8a2-1eaa73c68101.jpeg
android.widget.ImageView,android,,,More options,316281,"{""x"":88.333,""y"":6.375,""height"":5.25,""width"":11.667}",https://app-accessibility-assets.browserstack.com/4489817c827fa5ce3f3dbf758694f9ea2bb99871/screenshot-5ebf8128.jpeg,349305-82cee9b4-d64b-41a0-9867-42acc92b96be,,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316281_349305-82cee9b4-d64b-41a0-9867-42acc92b96be.jpeg
android.widget.ImageView,android,,,,316649,"{""x"":10.926,""y"":64.958,""height"":1.667,""width"":3.704}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-92b5d953.jpeg,2102850-e6a23877-effa-48d9-a7bd-b6ce98b5d09d,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316649_2102850-e6a23877-effa-48d9-a7bd-b6ce98b5d09d.jpeg
android.widget.ImageView,android,,,,316331,"{""x"":27.963,""y"":90.875,""height"":2.833,""width"":6.389}",https://app-accessibility-assets.browserstack.com/ad1af87ed04947465e50d6603f0299eace5ce324/screenshot-2af87976.jpeg,184839-9ad50acd-fbaa-472e-bde9-07831f00aa32,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316331_184839-9ad50acd-fbaa-472e-bde9-07831f00aa32.jpeg
